id,manager_slug,date_created,user_id,comment
37,default,"2014-07-22 14:28:01",NULL,
40,default,"2014-07-22 14:29:25",NULL,
43,default,"2014-07-22 14:29:29",NULL,
46,default,"2014-07-22 14:30:12",NULL,
62,default,"2014-07-22 14:32:49",NULL,
63,default,"2014-07-22 14:32:50",NULL,
66,default,"2014-07-22 14:32:52",NULL,
70,default,"2014-07-22 14:34:21",NULL,
71,default,"2014-07-22 14:34:21",NULL,
73,default,"2014-07-22 14:34:24",NULL,
75,default,"2014-07-22 14:34:32",NULL,
76,default,"2014-07-22 14:34:32",NULL,
77,default,"2014-07-22 14:35:24",NULL,
78,default,"2014-07-22 14:35:24",NULL,
83,default,"2014-07-22 14:35:31",NULL,
84,default,"2014-07-22 14:36:00",NULL,
85,default,"2014-07-22 14:36:00",NULL,
90,default,"2014-07-22 14:38:03",NULL,
91,default,"2014-07-22 14:38:27",NULL,
92,default,"2014-07-22 14:38:27",NULL,
125,default,"2014-07-22 14:50:13",NULL,
126,default,"2014-07-22 14:50:14",NULL,
129,default,"2014-07-22 14:50:17",NULL,
130,default,"2014-07-22 14:52:39",NULL,
132,default,"2014-07-22 14:52:39",NULL,
134,default,"2014-07-22 14:52:58",NULL,
135,default,"2014-07-22 14:52:59",NULL,
138,default,"2014-07-22 14:54:23",NULL,
139,default,"2014-07-22 14:54:23",NULL,
147,default,"2014-07-22 14:56:13",NULL,
148,default,"2014-07-22 14:56:13",NULL,
151,default,"2014-07-22 14:56:16",NULL,
152,default,"2014-07-22 14:58:03",NULL,
154,default,"2014-07-22 14:58:04",NULL,
156,default,"2014-07-22 14:58:11",NULL,
157,default,"2014-07-22 14:58:12",NULL,
160,default,"2014-07-22 14:58:33",NULL,
161,default,"2014-07-22 14:58:33",NULL,
164,default,"2014-07-22 15:05:06",NULL,
165,default,"2014-07-22 15:05:06",NULL,
168,default,"2014-07-22 15:06:22",NULL,
170,default,"2014-07-22 15:06:22",NULL,
172,default,"2014-07-22 15:06:41",NULL,
173,default,"2014-07-22 15:06:41",NULL,
176,default,"2014-07-22 15:07:04",NULL,
177,default,"2014-07-22 15:07:04",NULL,
181,default,"2014-07-22 15:08:37",NULL,
182,default,"2014-07-22 15:08:37",NULL,
184,default,"2014-07-22 15:08:39",NULL,
185,default,"2014-07-22 15:09:09",NULL,
186,default,"2014-07-22 15:09:09",NULL,
190,default,"2014-07-22 15:09:52",NULL,
191,default,"2014-07-22 15:11:05",NULL,
192,default,"2014-07-22 15:11:05",NULL,
195,default,"2014-07-22 15:11:26",NULL,
196,default,"2014-07-22 15:11:26",NULL,
199,default,"2014-07-22 15:12:03",NULL,
200,default,"2014-07-22 15:12:03",NULL,
208,default,"2014-07-22 15:13:11",NULL,
209,default,"2014-07-22 15:13:11",NULL,
212,default,"2014-07-22 15:13:14",NULL,
213,default,"2014-07-22 15:13:14",NULL,
214,default,"2014-07-22 15:13:15",NULL,
215,default,"2014-07-22 15:13:26",NULL,
216,default,"2014-07-22 15:13:26",NULL,
219,default,"2014-07-22 15:13:36",NULL,
220,default,"2014-07-22 15:13:36",NULL,
225,default,"2014-07-22 15:16:12",NULL,
366,default,"2014-07-22 17:58:50",3,
371,default,"2014-07-22 17:59:08",3,
372,default,"2014-07-22 17:59:08",3,
374,default,"2014-07-22 17:59:10",3,
376,default,"2014-07-22 18:00:27",3,
377,default,"2014-07-22 18:00:27",3,
380,default,"2014-07-22 18:00:47",3,
381,default,"2014-07-22 18:00:48",3,
384,default,"2014-07-22 18:01:28",3,
385,default,"2014-07-22 18:01:28",3,
390,default,"2014-07-22 18:02:33",3,
394,default,"2014-07-22 18:03:34",3,
395,default,"2014-07-22 18:03:34",3,
398,default,"2014-07-22 18:03:38",3,
399,default,"2014-07-22 18:03:55",3,
400,default,"2014-07-22 18:03:55",3,
403,default,"2014-07-22 18:06:36",3,
404,default,"2014-07-22 18:06:36",3,
405,default,"2014-07-22 18:07:14",3,
406,default,"2014-07-22 18:07:15",3,
411,default,"2014-07-22 18:08:23",3,
412,default,"2014-07-22 18:08:33",3,
413,default,"2014-07-22 18:08:33",3,
416,default,"2014-07-22 18:08:51",3,
418,default,"2014-07-22 18:08:52",3,
421,default,"2014-07-22 18:09:25",3,
422,default,"2014-07-22 18:09:26",3,
425,default,"2014-07-22 18:10:07",3,
1014,default,"2014-07-22 22:54:03",16,
1017,default,"2014-07-22 22:54:20",16,
1020,default,"2014-07-22 22:56:02",16,
1022,default,"2014-07-22 22:56:19",16,
1045,default,"2014-07-22 23:23:44",3,
1204,default,"2014-07-23 14:03:21",3,
1205,default,"2014-07-23 14:03:21",3,
1207,default,"2014-07-23 14:03:24",3,
1209,default,"2014-07-23 14:04:40",3,
1211,default,"2014-07-23 14:04:40",3,
1213,default,"2014-07-23 14:04:59",3,
1214,default,"2014-07-23 14:04:59",3,
1217,default,"2014-07-23 14:05:20",3,
1218,default,"2014-07-23 14:05:20",3,
1221,default,"2014-07-23 14:05:56",3,
1222,default,"2014-07-23 14:05:56",3,
1226,default,"2014-07-23 14:07:23",3,
1227,default,"2014-07-23 14:07:32",3,
1229,default,"2014-07-23 14:07:39",3,
1230,default,"2014-07-23 14:07:40",3,
1235,default,"2014-07-23 14:07:54",3,
1240,default,"2014-07-23 14:09:02",3,
1241,default,"2014-07-23 14:09:02",3,
1244,default,"2014-07-23 14:09:05",3,
